Rank,Player,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Longest Run,Rushing Touchdowns,Receptions,Targets,Receiving Yards,Yards Per Reception,Receiving Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
121,Justice Hill (FA),12,60,5,19,0,5,5,20,4,0,0,12,8,0.7,0.10%
122,Patrick Ricard (BAL),1,-1,-1,0,0,9,12,45,5,1,1,15,8,0.5,0.10%
123,C.J. Prosise (FA),10,19,1.9,7,0,5,5,18,3.6,1,1,10,7.7,0.8,0.00%
124,Reggie Gilliam (BUF),0,0,0,0,0,2,2,16,8,1,0,14,7.6,0.5,0.00%
125,Jaylen Samuels (HOU),9,28,3.1,6,0,9,14,46,5.1,0,0,14,7.4,0.5,0.10%
126,Anthony Sherman (FA),3,8,2.7,6,0,1,2,5,5,1,0,12,7.3,0.6,0.00%
127,Jonathan Ward (ARI),0,0,0,0,0,1,1,11,11,1,0,14,7.1,0.5,0.10%
128,Buddy Howell (LAR),16,64,4,9,0,1,2,3,3,0,0,14,6.7,0.5,0.00%
129,Keith Smith (ATL),4,7,1.8,3,0,11,15,59,5.4,0,0,16,6.6,0.4,0.00%
130,Theo Riddick (FA),6,14,2.3,11,0,5,6,43,8.6,0,0,5,5.7,1.1,0.00%
131,Marlon Mack (IND),4,26,6.5,18,0,3,3,30,10,0,0,1,5.6,5.6,2.20%
132,Dontrell Hilliard (TEN),9,48,5.3,19,0,1,1,2,2,0,0,7,5,0.7,38.00%
133,Trenton Cannon (SF),10,33,3.3,13,0,3,3,16,5.3,0,0,14,4.9,0.4,0.10%
134,Michael Burton (KC),7,18,2.6,7,0,4,4,28,7,0,0,15,4.6,0.3,0.00%
135,Devine Ozigbo (NE),1,1,1,1,0,9,9,42,4.7,0,0,8,4.3,0.5,0.00%
136,Khari Blasingame (TEN),0,0,0,0,0,4,5,39,9.8,0,0,15,3.9,0.3,0.00%
137,Elijhaa Penny (NYG),6,15,2.5,5,0,2,3,20,10,0,0,14,3.5,0.3,0.10%
138,Rashaad Penny (SEA),11,34,3.1,7,0,0,0,0,0,0,0,3,3.4,1.1,3.90%
139,Bo Scarbrough (LV),6,31,5.2,12,0,0,0,0,0,0,0,1,3.1,3.1,0.00%
140,Austin Walter (NYJ),1,3,3,3,0,1,1,27,27,0,0,4,3,0.8,0.50%
141,Alex Armah Jr. (WAS),6,9,1.5,3,0,5,9,18,3.6,0,0,16,2.7,0.2,0.00%
142,Rico Dowdle (DAL),7,24,3.4,7,0,0,0,0,0,0,0,15,2.4,0.2,0.00%
143,Jason Huntley (PHI),5,19,3.8,10,0,1,2,0,0,0,0,5,1.9,0.4,0.00%
144,Andy Janovich (CLE),2,4,2,2,0,2,5,13,6.5,0,0,14,1.7,0.1,0.00%
145,LeVante Bellamy (DEN),4,11,2.8,8,0,1,1,5,5,0,0,5,1.6,0.3,0.00%
146,Scottie Phillips (HOU),2,9,4.5,5,0,1,1,7,7,0,0,8,1.6,0.2,0.00%
147,Dwayne Washington (NO),8,15,1.9,5,0,0,0,0,0,0,0,11,1.5,0.1,0.10%
148,Tony Jones Jr. (NO),3,13,4.3,6,0,0,0,0,0,0,0,1,1.3,1.3,7.60%
149,Senorise Perry (FA),2,9,4.5,6,0,0,0,0,0,0,0,7,0.9,0.1,0.00%
150,Chandler Cox (FA),0,0,0,0,0,2,2,9,4.5,0,0,8,0.9,0.1,0.00%
151,D.J. Foster (FA),2,2,1,2,0,1,1,7,7,0,0,10,0.9,0.1,0.00%
152,Dexter Williams (FA),2,8,4,5,0,0,0,0,0,0,0,3,0.8,0.3,0.00%
153,Gabe Nabers (LAC),2,7,3.5,4,0,5,7,25,5,2,0,16,0.8,0.1,0.00%
154,Craig Reynolds (DET),1,4,4,4,0,1,1,3,3,0,0,2,0.7,0.4,0.00%
155,Cullen Gillaspia (NYG),0,0,0,0,0,1,1,6,6,0,0,7,0.6,0.1,0.00%
156,Lamar Miller (FA),0,0,0,0,0,2,2,6,3,0,0,1,0.6,0.6,0.00%
157,Jonathan Williams (NYG),1,5,5,5,0,4,4,21,5.3,0,1,5,0.6,0.1,0.00%
158,Tony Brooks-James (FA),3,4,1.3,4,0,0,0,0,0,0,0,1,0.4,0.4,0.00%
159,Qadree Ollison (ATL),1,3,3,3,0,0,0,0,0,0,0,3,0.3,0.1,0.70%
160,Cameron Scarlett (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
161,Mikey Daniel (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
162,Jake Bargas (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
163,Josh Hokit (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
164,Jermar Jefferson (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00%
165,Pooka Williams Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
166,Nathan Cottrell (JAC),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
167,Pete Guerriero (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
168,Raymond Calais (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
169,Nick Bawden (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
170,Ty'Son Williams (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20%
171,Sewo Olonilua (DAL),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
172,Malcolm Perry (NO),3,5,1.7,6,0,9,13,92,10.2,1,0,9,0,0,0.00%
173,Giovanni Ricci (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
174,Chuba Hubbard (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.30%
175,Deon Jackson (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
176,John Kelly (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
177,Godwin Igwebuike (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
178,Jason Cabinda (DET),1,0,0,0,0,2,3,8,4,0,0,16,0,0,0.00%
179,Demetric Felton (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
180,Mekhi Sargent (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
181,Jaret Patterson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
182,Trey Ragas (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
183,Sandro Platzgummer (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
184,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%
185,Kerrith Whyte Jr. (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
186,Sutton Smith (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
187,John Lovett (FA),3,6,2,4,0,0,0,0,0,0,0,8,0,0,0.00%
188,Jeremy Cox (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
189,Aca'Cedric Ware (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
190,Ryquell Armstead (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
191,Elijah Holyfield (CIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
192,Trevon Wesco (NYJ),1,0,0,0,0,1,2,5,5,0,0,12,0,0,0.00%
193,Mike Weber (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
194,Dalyn Dawkins (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
195,Damarea Crockett (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
196,Donnie Ernsberger (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
197,Michael Warren II (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
198,Trey Sermon (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00%
199,Javon Leake (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
200,Tavien Feaster (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
201,Darius Anderson (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
202,Darius Bradwell (LAC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
203,Xavier Jones (FA),0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.30%
204,Larry Rountree III (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
205,Patrick Taylor Jr. (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
206,Johnny Stanton (CLE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
207,Derrick Gore (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
208,Travis Etienne Jr. (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50%
209,Najee Harris (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.90%
210,Kylin Hill (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
211,Eno Benjamin (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00%
212,Caleb Huntley (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
213,Elijah Mitchell (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.60%
214,Chris Evans (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40%
215,Khalil Herbert (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.90%
216,Javian Hawkins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
217,Javonte Williams (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.50%
218,Michael Carter (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.30%
219,Rhamondre Stevenson (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30%
220,Gerrid Doaks (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
221,A.J. Rose Jr. (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
222,JaQuan Hardy (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
223,Tory Carter (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
224,Kenneth Gainwell (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.30%
225,Gary Brightwell (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
226,Mason Stokke (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Spencer Brown (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
228,Kene Nwangwu (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90%
229,Jake Funk (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
230,Nate McCrary (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
231,Josh Johnson (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Adam Prentice (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
233,Tre Harbison (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
234,Taiwan Jones (BUF),0,0,0,0,0,0,2,0,0,0,0,13,0,0,0.00%
235,Jay Finley (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
236,Chad Spann (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
237,Shane Bannon (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
238,Bruce Miller (FA),0,0,0,0,0,1,2,2,2,0,0,8,0,0,0.00%
239,Xavier Omon (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
240,Andre Anderson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Garrett Mills (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
242,Isaac Odim (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
243,Brandon Bolden (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.70%
244,Cordarrelle Patterson (ATL),64,232,3.6,13,1,21,25,132,6.3,0,0,16,0,0,95.10%
245,Jamize Olawale (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
246,Nick Bellore (SEA),1,5,5,5,0,1,1,9,9,0,0,16,0,0,0.00%
247,Dantrell Savage (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,Anthony Alridge (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
249,Chad Simpson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
250,Samkon Gado (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
251,Mike Bell (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
252,Kenny Irons (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
253,Matt Lawrence (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
254,Marcus Mason (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
255,Marcus Mailei (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
256,Madison Hedgecock (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
257,Wendell Smallwood (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
258,Darius Jackson (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
259,Derek Watt (PIT),0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.10%
260,Taquan Mizzell (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
261,Trey Edmunds (PIT),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
262,J.P. Holtz (CHI),0,0,0,0,0,0,1,0,0,0,0,16,0,0,0.00%
263,Khalfani Muhammad (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
264,Elijah McGuire (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
265,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
266,Carlin Isles (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
267,Tim Flanders (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
268,Damien Williams (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40%
269,Willie Carter (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
270,Tommy Bohanon (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
271,Kenjon Barner (FA),0,0,0,0,0,0,1,0,0,0,0,6,0,0,0.00%
272,Brennan Clay (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
273,Adrian Killins Jr. (DEN),1,-12,-12,0,0,1,1,2,2,0,0,1,-1,-1,0.00%
